DESCRICAO_LIMPA,LOGRADOURO_LIMPO,NOME_BAIRRO_POPULAR_LIMPO,CATEGORIA_LIMPA,CATEGORIA_CODIFICADA,TIPO_LOGRADOURO_LIMPO,TIPO_LOGRADOURO_CODIFICADO
parque vila pantanal,geraldo vasconcello,estoril,natural,3,rua,5
parque bandeirante silva ortiz,jose claudio rezende,estoril,natural,3,rua,5
parque josé lope rel,albania,europa,natural,3,rua,5
parque professor guilherme lage,padre jose alve,eymard,natural,3,rua,5
parque halley alve bessa,austria,havaí,natural,3,rua,5
parque conjunto estrela dalva,costa marfim,havaí,natural,3,avenida,2
parque bairro havaí,manila,havaí,natural,3,rua,5
parque municipal fazenda lagoa nado,ministro hermenegildo barro,itapoã,natural,3,rua,5
parque municipal fazenda lagoa nado,desembargador lincoln prate,itapoã,natural,3,rua,5
cemitério consolação,jose gome domingue,jaqueline,natural,3,rua,5
parque mosteiro tom jobim,doutor ismael faria,luxemburgo,natural,3,rua,5
parque mangabeira maurício campo,caraca,mangabeira,natural,3,rua,5
parque mangabeira maurício campo,cidade porto,mangabeira,natural,3,praca,3
parque serra curral,jose patrocinio ponte,mangabeira,natural,3,avenida,2
parque mangabeira maurício campo,jose patrocinio ponte,mangabeira,natural,3,avenida,2
parque senhora piedade,rubem souza pimentel,minaslândia,natural,3,rua,5
parque primeiro maio,joana darc,minaslândia,natural,3,rua,5
cevae morro pedra,belfort roxo,nova granada,natural,3,rua,5
parque marcu pereira mello,doutor jose olimpio borge,novo luca,natural,3,rua,5
parque elia michel farah,desembargador paulo mota,ouro preto,natural,3,rua,5
parque ecológico renato azeredo,antonio peregrino nascimento,palmare,natural,3,rua,5
jardim zoológico,antonio francisco lisboa,bandeirante,natural,3,avenida,2
jardim zoológico,otacilio negrao lima,bandeirante,natural,3,avenida,2
jardim botânico,otacilio negrao lima,bandeirante,natural,3,avenida,2
parque cássia eller,silvio pereira batista,paquetá,natural,3,rua,5
parque bairro planalto,sao jose jacuri,planalto,natural,3,rua,5
parque jornalista eduardo couri,artur bernarde,santa lúcia,natural,3,avenida,2
parque ecológico pedro machado,castro meneze,santa maria,natural,3,rua,5
parque ecológico universitário,aristotele ribeiro vasconcelo,santa rosa,natural,3,rua,5
parque rosinha cadar,rodrigue calda,santo agostinho,natural,3,rua,5
parque rosinha cadar,matia cardoso,santo agostinho,natural,3,rua,5
área vertedouro barragem santa lúcia,engenheiro zoroastro torre,santo antônio,natural,3,rua,5
parque municipal tião santo,operario silva,gabriel,natural,3,rua,5
parque linear vale arruda,andrada,geraldo,natural,3,avenida,2
cemitério saudade,loui braille,saudade,natural,3,praca,3
cevae serra verde,sebastiao gome pereira,serra verde,natural,3,rua,5
parque mata borboleta,assuncao,sion,natural,3,rua,5
parque jornalista eduardo couri,bandeirante,sion,natural,3,avenida,2
parque ecológico padre alfredo sabetta,antonio teixeira dia,teixeira dia,natural,3,rua,5
parque matinha,leoncio chaga,união,natural,3,rua,5
parque alexander brandt,joaquim goncalve silva,rio branco,natural,3,rua,5
parque bairro jardim leblon,maria aline lope,rio branco,natural,3,rua,5
parque alexander brandt,joaquim goncalve silva,rio branco,natural,3,rua,5
parque municipal bairro trevo,comendador barbosa melo,trevo,natural,3,rua,5
parque ecologico jardim vitoria,armindo goncalve ferreira,jardim vitória,natural,3,rua,5
parque confisco,cecilia magalhae gome,confisco,natural,3,rua,5
