DESCRICAO;CATEGORIA;TIPO_LOGRADOURO;LOGRADOURO;COMPLEMENTO;NOME_BAIRRO_POPULAR;REF_LOCALIZACAO
Biblioteca do Centro Cultural Alto Vera Cruz;CULTURAL;RUA;PADRE JULIO MARIA;     ;Alto Vera Cruz;     
Centro Cultural Bairro das Indústrias;CULTURAL;RUA;DOS INDUSTRIARIOS;     ;Bairro das Indústrias I;     
Parque Rosinha Cadar;NATURAL;RUA;RODRIGUES CALDAS;     ;Santo Agostinho;     
Parque Rosinha Cadar;NATURAL;RUA;MATIAS CARDOSO;     ;Santo Agostinho;     
Área do vertedouro da Barragem Santa Lúcia;NATURAL;RUA;ENGENHEIRO ZOROASTRO TORRES;     ;Santo Antônio;     
Parque Municipal Tião dos Santos;NATURAL;RUA;OPERARIO SILVA;     ;São Gabriel;     
Parque Linear do Vale do Arrudas;NATURAL;AVENIDA;DOS ANDRADAS;     ;São Geraldo;     
Cemitério da Saudade;NATURAL;PRACA;LOUIS BRAILLE;     ;Saudade;     
CEVAE Serra Verde;NATURAL;RUA;SEBASTIAO GOMES PEREIRA;     ;Serra Verde;     
Parque Mata das Borboletas;NATURAL;RUA;ASSUNCAO;     ;Sion;     
Parque Jornalista Eduardo Couri;NATURAL;AVENIDA;DOS BANDEIRANTES;     ;Sion;     
Parque Ecológico Padre Alfredo Sabetta;NATURAL;RUA;ANTONIO TEIXEIRA DIAS;     ;Teixeira Dias;     
Parque da Matinha;NATURAL;RUA;LEONCIO CHAGAS;     ;União;     
Parque Alexander Brandt;NATURAL;RUA;JOAQUIM GONCALVES DA SILVA;     ;Rio Branco;     
Parque do Bairro Jardim Leblon;NATURAL;RUA;MARIA ALINE LOPES;     ;Rio Branco;     
Parque Alexander Brandt;NATURAL;RUA;JOAQUIM GONCALVES DA SILVA;     ;Rio Branco;     
Parque Municipal do Bairro Trevo;NATURAL;RUA;COMENDADOR BARBOSA MELO;     ;Trevo;     
Parque Ecologico Jardim Vitoria;NATURAL;RUA;ARMINDO GONCALVES FERREIRA;     ;Jardim Vitória;     
Parque do Confisco;NATURAL;RUA;CECILIA MAGALHAES GOMES;     ;Confisco;     
Parque Real;NATURAL;RUA;TRES MIL E SETENTA E QUATRO;     ;Paulo VI;     
CEVAE Capitão Eduardo;NATURAL;RUA;MACAUBAS;     ;Capitão Eduardo;     
Parque Fernão Dias;NATURAL;RUA;NEIDE;     ;Fernão Dias;     
